#OTU ID	BD0017v13	BD0027v13	BD0022v13	BD0040v13	BD0044v13	BD0057v13	BD0115v13	BD0190v13	BD0072v13	BD0112v13	BD0246v13	BD0247v13	BD0266v13	BD0235v13	BD0295v13	BD0255v13	BD0300v13	BD0331v13	BD0321v13	BD0351v13	BD0409v13	BD0410v13	BD0375v13	BD0414v13	BD0422v13	BD0464v13	BD0571v13	BD0578v13	BD0587v13	BD0592v13	BD0594v13	BD0610v13	BD0611v13	BD0613v13	BD0636v13	BD0616v13	BD0653v13	BD0643v13	BD0654v13	BD0673v13	BD0735v13	BD0760v13	BD0777v13	BD0758v13	BD0789v13	BD0791v13	BD0821v13	BD0786v13	BD0790v13	BD0913v13	BD0954v13	BD0981v13
k__._.p__._.c__._.o__._.f__._.g__	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	6	0	0	4	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__._.c__._.o__._.f__._.g__	8	67	2	37	344	650	1227	77	4	7	306	7	14	75	187	96	24	0	5	5	27	18	0	432	138	13	2	19	47	475	29	391	125	11	16	7	310	4	160	85	5	3	13	106	3	223	40	3	1	5	36	74
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__._.f__._.g__	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Actinomycetaceae._.g__Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Propionibacteriaceae._.g__Propionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Bifidobacteriales._.f__Bifidobacteriaceae._.g__Bifidobacterium	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__	1	0	0	7	0	0	0	1	0	0	0	2	8	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	2	0	1	0	0	4	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Collinsella	65	18	41	2	5	1	0	1	4	2	1	10	0	5	1	0	0	0	0	0	3	1	31	1	2	0	2	0	0	3	10	1	0	0	6	0	21	29	3	5	3	0	0	1	0	13	17	2	0	2	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Eggerthella	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Olsenella	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	1	0	2	0	0	0	0	0	3	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Slackia	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__._.o__._.f__._.g__	0	0	0	0	0	34	42	0	0	0	379	139	0	0	46	2	0	0	0	0	0	11	0	512	0	1	0	0	0	0	0	0	0	0	0	173	139	0	52	0	0	37	3	0	0	8	0	0	0	0	4	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__._.g__	2	0	1	6	0	1	0	0	0	0	0	0	5	0	0	0	0	0	2	0	5	0	0	3	0	19	0	0	0	0	6	1	3	0	0	4	15	0	1	0	0	0	0	7	0	0	0	0	1	0	1	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Bacteroidaceae._.g__Bacteroides	1784	2738	3754	2283	1690	1599	814	153	2493	2712	577	1444	3089	910	130	441	3051	4249	749	2654	227	332	475	115	2620	2364	306	3945	937	2585	4324	546	1311	1846	1452	595	4408	1978	1438	2176	681	1301	1377	347	774	354	1373	837	906	1896	100	661
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__	0	23	0	0	0	3	700	0	0	0	0	0	0	1	112	122	10	0	0	0	53	40	1	203	0	3	0	0	114	0	0	236	0	0	43	0	5	0	6	0	106	0	0	1	0	4	0	70	99	0	0	0
