#OTU ID	BD0017v13	BD0027v13	BD0022v13	BD0040v13	BD0044v13	BD0057v13	BD0115v13	BD0190v13	BD0072v13	BD0112v13	BD0246v13	BD0247v13	BD0266v13	BD0235v13	BD0295v13	BD0255v13	BD0300v13	BD0331v13	BD0321v13	BD0351v13	BD0409v13	BD0410v13	BD0375v13	BD0414v13	BD0422v13	BD0464v13	BD0571v13	BD0578v13	BD0587v13	BD0592v13	BD0594v13	BD0610v13	BD0611v13	BD0613v13	BD0636v13	BD0616v13	BD0653v13	BD0643v13	BD0654v13	BD0673v13	BD0735v13	BD0760v13	BD0777v13	BD0758v13	BD0789v13	BD0791v13	BD0821v13	BD0786v13	BD0790v13	BD0913v13	BD0954v13	BD0981v13
k__._.p__._.c__._.o__._.f__._.g__	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__._.c__._.o__._.f__._.g__	1	19	1	4	122	169	325	30	1	1	168	5	4	27	67	28	0	0	3	2	27	16	0	153	41	3	2	5	23	142	5	258	64	3	5	4	36	2	63	37	2	1	7	56	3	176	19	3	1	4	36	74
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__._.f__._.g__	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Actinomycetaceae._.g__Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Propionibacteriaceae._.g__Propionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Bifidobacteriales._.f__Bifidobacteriaceae._.g__Bifidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Collinsella	16	2	13	0	1	0	0	0	2	1	1	6	0	2	1	0	0	0	0	0	3	1	15	0	0	0	2	0	0	1	2	0	0	0	3	0	4	14	1	2	0	0	0	0	0	12	9	2	0	1	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Eggerthella	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Olsenella	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Slackia	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__._.o__._.f__._.g__	0	0	0	0	0	6	14	0	0	0	243	72	0	0	22	2	0	0	0	0	0	9	0	179	0	0	0	0	0	0	0	0	0	0	0	81	12	0	17	0	0	16	1	0	0	6	0	0	0	0	4	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__._.g__	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	1	0	10	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Bacteroidaceae._.g__Bacteroides	439	731	1013	571	551	381	203	57	724	729	296	731	878	387	49	166	427	1322	293	550	227	295	204	38	787	780	306	1038	377	704	953	351	618	858	601	281	565	1007	572	889	348	506	724	144	678	290	640	751	802	860	98	657
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__	0	6	0	0	0	2	203	0	0	0	0	0	0	0	40	47	3	0	0	0	53	36	0	57	0	2	0	0	40	0	0	152	0	0	15	0	0	0	4	0	51	0	0	1	0	3	0	63	82	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Barnesiella	4	0	1	4	0	1	6	5	0	2	9	7	0	0	0	4	3	0	4	0	0	0	0	0	0	30	0	0	83	48	0	1	19	0	0	7	0	0	0	0	0	0	20	82	0	0	35	5	0	1	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Butyricimonas	2	0	0	5	7	0	1	4	0	0	2	0	1	10	2	2	1	0	0	0	3	0	0	0	4	8	1	0	45	0	0	3	2	0	12	1	3	0	0	0	2	0	0	4	0	5	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Odoribacter	0	24	5	16	2	37	49	4	3	0	6	5	4	1	9	16	2	0	0	0	9	5	0	6	26	0	3	16	30	21	16	9	0	0	12	9	2	6	3	8	5	4	7	18	3	21	0	2	0	2	2	5
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Parabacteroides	66	62	83	13	40	17	15	8	18	8	3	26	18	16	15	20	28	121	4	48	37	4	17	5	7	34	52	77	131	54	53	11	18	20	48	5	29	79	19	11	10	23	61	50	13	9	22	30	5	7	8	44
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__	0	0	0	0	0	0	21	0	0	0	0	0	0	0	11	0	28	0	0	0	0	0	0	12	0	79	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	29	41	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	46	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Hallella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Paraprevotella	0	0	59	40	37	15	44	2	0	0	52	41	24	77	6	15	57	0	0	117	6	27	0	1	1	60	21	0	0	0	72	26	123	0	19	39	8	0	20	0	47	25	0	97	0	1	3	33	28	0	8	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Prevotella	0	0	59	0	0	33	0	781	0	0	0	0	0	0	537	445	0	0	0	0	17	388	884	61	0	0	500	0	0	0	0	1	0	0	14	722	0	1	0	0	539	359	182	780	3	153	51	0	0	0	360	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Xylanibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Rikenellaceae._.g__Alistipes	51	239	15	89	119	41	184	7	6	21	128	42	43	53	48	89	28	0	6	25	22	23	16	3	138	27	23	13	98	224	119	85	77	101	281	29	91	11	100	52	4	11	50	65	28	16	2	12	0	2	29	90
k__Bacteria._.p__Deinococcus-Thermus._.c__Deinococci._.o__Deinococcales._.f__Deinococcaceae._.g__Deinococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__._.o__._.f__._.g__	1	0	0	65	88	39	209	31	0	0	55	37	4	55	56	32	40	0	69	133	80	118	4	45	1	4	0	42	15	4	10	50	4	3	1	4	18	8	71	6	43	41	1	0	6	17	1	3	32	1	35	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Bacillales._.f__Bacillaceae_1._.g__Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Bacillales._.f__Listeriaceae._.g__Listeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Bacillales._.f__Staphylococcaceae._.g__Staphylococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
